Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Saari M.M.; Razak A.Z.I.; Zain M.A.H.P.; Nadzri N.A.; Daud M.R.; Ahmad H.,"Saari, Mohd Mawardi (57220107330); Razak, Ahmad Zahir Irsyad (57216313086); Zain, Mohd Aufa Hadi Putera (57192871255); Nadzri, Nurul A’in (57201859397); Daud, Mohd Razali (57004537100); Ahmad, Hamzah (35304432800)",57220107330; 57216313086; 57192871255; 57201859397; 57004537100; 35304432800,Development of AC and DC Drive Coils for a Small Volume Magnetic Particle Imaging System,2020,Lecture Notes in Electrical Engineering,632,,,101,111,10,0,10.1007/978-981-15-2317-5_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079324&doi=10.1007%2f978-981-15-2317-5_10&partnerID=40&md5=3aaa91962bbc0a082c167f0017e76b91,Conference paper,Final,,Scopus,2-s2.0-85083079324
Ahmad H.; Othman N.A.; Noh M.M.; Zain Z.M.; Saari M.M.,"Ahmad, Hamzah (35304432800); Othman, Nur Aqilah (56028974800); Noh, Maziyah Mat (38862484200); Zain, Zainah Md (24463956900); Saari, Mohd Mawardi (57220107330)",35304432800; 56028974800; 38862484200; 24463956900; 57220107330,An Adaptive Estimation Technique for Finite Escape Time Issue in Mobile Robot Navigation,2023,"2023 IEEE 11th Conference on Systems, Process and Control, ICSPC 2023 - Proceedings",,,,205,209,4,1,10.1109/ICSPC59664.2023.10420281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186665135&doi=10.1109%2fICSPC59664.2023.10420281&partnerID=40&md5=241b1380ed3717fba82ebdf2f9ca70c7,Conference paper,Final,,Scopus,2-s2.0-85186665135
Saari M.M.; Nadzri N.A.; Zaini M.A.H.P.; Sulaiman M.H.; Kiwa T.,"Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A’in (57201859397); Zaini, Mohd Aufa Hadi Putera (57207994127); Sulaiman, Mohd Herwan (55336854400); Kiwa, Toshihiko (6603908017)",57220107330; 57201859397; 57207994127; 55336854400; 6603908017,A Circular Eddy Current Probe Using Miniature Fluxgates for Multi-Orientation Slit Evaluation in Steel Components,2023,Russian Journal of Nondestructive Testing,59,8,,902,914,12,5,10.1134/S1061830923600417,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174322163&doi=10.1134%2fS1061830923600417&partnerID=40&md5=e460b30c4f29dfb4b18a7dbcd35e8dbe,Article,Final,,Scopus,2-s2.0-85174322163
Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Aziz Z.,"Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A’in (57201859397); Aziz, Zulkifly (57220106807)",57207994127; 57220107330; 57201859397; 57220106807,A Digital Dual-Phase Lock-In Amplifier for MFL and ECT NDT Applications,2022,Lecture Notes in Electrical Engineering,842,,,989,997,8,1,10.1007/978-981-16-8690-0_86,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126925393&doi=10.1007%2f978-981-16-8690-0_86&partnerID=40&md5=ed867f8637cc761bdfddd9acc528e2b6,Conference paper,Final,,Scopus,2-s2.0-85126925393
Che Abdul Ghani S.; Abdul Wahab Y.; Abu Talip Yusof N.; Saari M.M.; Abdul Karim R.; Zakaria N.F.; Wahidah Arshad N.; Daud M.R.,"Che Abdul Ghani, Shahrulazlan (57546717400); Abdul Wahab, Yasmin (57193422873); Abu Talip Yusof, Nurhafizah (57208004036); Saari, Mohd Mawardi (57220107330); Abdul Karim, Rohana (58292333000); Zakaria, Nor Farizan (55616130000); Wahidah Arshad, Nurul (57208674645); Daud, Mohd Razali (57004537100)",57546717400; 57193422873; 57208004036; 57220107330; 58292333000; 55616130000; 57208674645; 57004537100,Development of IoT Based Smart Sorting Recycle Bin Using Raspberry Pi3 B+,2022,Lecture Notes in Electrical Engineering,842,,,693,703,10,0,10.1007/978-981-16-8690-0_61,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126919037&doi=10.1007%2f978-981-16-8690-0_61&partnerID=40&md5=94d12ba104517ea67312143be8480ebc,Conference paper,Final,,Scopus,2-s2.0-85126919037
Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Aziz Z.A.,"Nadzri, Nurul A'in (57201859397); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Aziz, Zulkifly Ab (57220106807)",57201859397; 57220107330; 57207994127; 57220106807,Detection of Vertical and Horizontal Crack in Steel Structure Using a Circular Eddy Current Testing Probe,2024,AIP Conference Proceedings,2998,1,60010,,,,1,10.1063/5.0190383,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188329720&doi=10.1063%2f5.0190383&partnerID=40&md5=c9f3adc3aefa2531e76e32e91378f0ba,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85188329720
Hadi Putera Zaini M.A.; Mawardi Saari M.; Nadzri N.A.; Mohd Halil A.; Tsukada K.,"Hadi Putera Zaini, Mohd Aufa (57207994127); Mawardi Saari, Mohd (57220107330); Nadzri, Nurul Arin (57201859397); Mohd Halil, Aiman (57192875407); Tsukada, Keiji (7201442097)",57207994127; 57220107330; 57201859397; 57192875407; 7201442097,An MFL Probe using Shiftable Magnetization Angle for Front and Back Side Crack Evaluation,2019,"Proceedings - 2019 IEEE 15th International Colloquium on Signal Processing and its Applications, CSPA 2019",,,8696064,157,161,4,11,10.1109/CSPA.2019.8696064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065466971&doi=10.1109%2fCSPA.2019.8696064&partnerID=40&md5=7201d6fb1628bd8a7b2eec1ada68e712,Conference paper,Final,,Scopus,2-s2.0-85065466971
Sulaiman M.H.; Mustaffa Z.; Saari M.M.; Daniyal H.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Saari, Mohd Mawardi (57220107330); Daniyal, Hamdan (57191624414)",55336854400; 54789967400; 57220107330; 57191624414,Barnacles Mating Optimizer: A new bio-inspired algorithm for solving engineering optimization problems,2020,Engineering Applications of Artificial Intelligence,87,,103330,,,,374,10.1016/j.engappai.2019.103330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074665864&doi=10.1016%2fj.engappai.2019.103330&partnerID=40&md5=56d705ac4450d8d8930a8f055cde4507,Article,Final,,Scopus,2-s2.0-85074665864
Tsukada K.; Hayashi M.; Kawakami T.; Adachi S.; Sakai K.; Kiwa T.; Ishikawa T.; Saari M.M.; Hori K.; Hisazumi K.; Tominaga T.,"Tsukada, Keiji (7201442097); Hayashi, Minoru (57202781155); Kawakami, Taisei (57221706415); Adachi, Shoya (57457601400); Sakai, Kenji (55453019800); Kiwa, Toshihiko (6603908017); Ishikawa, Toshiyuki (57187497400); Saari, Mohd Mawardi (57220107330); Hori, Kengo (57486278800); Hisazumi, Kazumasa (56303305800); Tominaga, Tomonori (15741606300)",7201442097; 57202781155; 57221706415; 57457601400; 55453019800; 6603908017; 57187497400; 57220107330; 57486278800; 56303305800; 15741606300,Magnetic thickness measurement for various iron steels using magnetic sensor and effect of electromagnetic characteristics,2022,AIP Advances,12,3,35109,,,,5,10.1063/9.0000250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126209775&doi=10.1063%2f9.0000250&partnerID=40&md5=23ef4fd72f7f342aced270bcd74da777,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85126209775
Saari M.M.; Sakai K.; Kiwa T.; Tsukada K.,"Saari, Mohd Mawardi (57220107330); Sakai, Kenji (55453019800); Kiwa, Toshihiko (6603908017); Tsukada, Keiji (7201442097)",57220107330; 55453019800; 6603908017; 7201442097,A sensitive magnetometer utilizing high-T c SQUID for magnetic property characterization,2021,Microsystem Technologies,27,9,,3413,3420,7,4,10.1007/s00542-020-05198-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098484452&doi=10.1007%2fs00542-020-05198-6&partnerID=40&md5=8669a9d3858663a39ff2293ac1bb8c0e,Article,Final,,Scopus,2-s2.0-85098484452
Aziz Z.; Saari M.M.; Sim Yee C.; Hadi Putera Zaini M.A.; A'in Nadzri N.,"Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Sim Yee, Chin (56374296600); Hadi Putera Zaini, Mohd Aufa (57207994127); A'in Nadzri, Nurul (57201859397)",57220106807; 57220107330; 56374296600; 57207994127; 57201859397,Simulation of Triple Helmholtz Coils for Wireless Power Transfer in Photocatalytic Wastewater Photoreforming,2020,"2020 11th IEEE Control and System Graduate Research Colloquium, ICSGRC 2020 - Proceedings",,,9232548,20,25,5,3,10.1109/ICSGRC49013.2020.9232548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096907818&doi=10.1109%2fICSGRC49013.2020.9232548&partnerID=40&md5=790c2e9eec9f45a47d720d087539129c,Conference paper,Final,,Scopus,2-s2.0-85096907818
Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Halil A.M.; Hanifah A.J.S.; Ishak M.,"Nadzri, N.A. (57201859397); Saari, M.M. (57220107330); Zaini, M.A.H.P. (57207994127); Halil, A.M. (57192875407); Hanifah, A.J.S. (57216314454); Ishak, M. (55545861661)",57201859397; 57220107330; 57207994127; 57192875407; 57216314454; 55545861661,Depth Evaluation of Slits on Galvanized Steel Plate Using a Low Frequency Eddy Current Probe,2020,Lecture Notes in Electrical Engineering,632,,,59,66,7,2,10.1007/978-981-15-2317-5_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079699&doi=10.1007%2f978-981-15-2317-5_6&partnerID=40&md5=237c6336982c731848573138aab56de6,Conference paper,Final,,Scopus,2-s2.0-85083079699
Aziz Z.; Saari M.M.; Zaini M.A.H.P.; Nadzri N.A.; Yee C.S.,"Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Nadzri, Nurul A'In (57201859397); Yee, Chin Sim (56374296600)",57220106807; 57220107330; 57207994127; 57201859397; 56374296600,Mutual Inductance Estimation for Asymmetrical Coupler with Multiple Transmit Coils,2022,"2022 IEEE 18th International Colloquium on Signal Processing and Applications, CSPA 2022 - Proceeding",,,,182,186,4,0,10.1109/CSPA55076.2022.9781866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132752129&doi=10.1109%2fCSPA55076.2022.9781866&partnerID=40&md5=27d5470fd32bcc37f286b40ccfa0f500,Conference paper,Final,,Scopus,2-s2.0-85132752129
Sulaiman M.H.; Mustaffa Z.; Aliman O.; Saari M.M.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Aliman, Omar (24733710900); Saari, Mohd Mawardi (57220107330)",55336854400; 54789967400; 24733710900; 57220107330,Improved Barnacles Mating Optimizer for Loss Minimization Problem in Optimal Reactive Power Dispatch,2023,"13th IEEE Symposium on Computer Applications and Industrial Electronics, ISCAIE 2023",,,,51,55,4,2,10.1109/ISCAIE57739.2023.10165315,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165157254&doi=10.1109%2fISCAIE57739.2023.10165315&partnerID=40&md5=cd6421d5bae139cb9870f5159baa348b,Conference paper,Final,,Scopus,2-s2.0-85165157254
Sulaiman M.H.; Mustaffa Z.; Saari M.M.; Daniyal H.; Mirjalili S.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Saari, Mohd Mawardi (57220107330); Daniyal, Hamdan (57191624414); Mirjalili, Seyedali (51461922300)",55336854400; 54789967400; 57220107330; 57191624414; 51461922300,Evolutionary mating algorithm,2023,Neural Computing and Applications,35,1,,487,516,29,62,10.1007/s00521-022-07761-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138171273&doi=10.1007%2fs00521-022-07761-w&partnerID=40&md5=9aad54ae14b409d87a6c306804d0320e,Article,Final,,Scopus,2-s2.0-85138171273
Saari M.M.; Che Lah N.A.; Sakai K.; Kiwa T.; Tsukada K.,"Saari, Mohd Mawardi (57220107330); Che Lah, Nurul Akmal (37055955600); Sakai, Kenji (55453019800); Kiwa, Toshihiko (6603908017); Tsukada, Keiji (7201442097)",57220107330; 37055955600; 55453019800; 6603908017; 7201442097,Harmonics distribution of iron oxide nanoparticles solutions under diamagnetic background,2018,Journal of Magnetism and Magnetic Materials,452,,,145,152,7,9,10.1016/j.jmmm.2017.12.054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038818505&doi=10.1016%2fj.jmmm.2017.12.054&partnerID=40&md5=09296ea3e917da0bc1100c524ff6883d,Article,Final,,Scopus,2-s2.0-85038818505
Wahdain S.S.; Mohamed A.I.; Saari M.M.; Daud M.R.; Jamil M.K.M.,"Wahdain, Samer S. (57226567659); Mohamed, A.I. (53984855400); Saari, Mohd Mawardi (57220107330); Daud, Mohd Razali (57004537100); Jamil, Mohamad Kamarol Mohd (57220854523)",57226567659; 53984855400; 57220107330; 57004537100; 57220854523,"Investigation of Static Voltage Accumulation on Wind Turbine Blade in Atmospheric Wind speed Humidity and Temperature; [Badanie akumulacji napięcia statycznego na łopatach turbiny wiatrowej przy prędkości wiatru atmosferycznego, wilgotności i temperaturze]",2023,Przeglad Elektrotechniczny,2023,6,,175,180,5,2,10.15199/48.2023.06.36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164490482&doi=10.15199%2f48.2023.06.36&partnerID=40&md5=d6c7920506fa343722ef4aeb95242f08,Article,Final,,Scopus,2-s2.0-85164490482
Saari M.M.; Aufa Hadi Putera Zaini M.; Herwan Sulaiman M.; Salihin Samsudin A.; Kiwa T.,"Saari, Mohd Mawardi (57220107330); Aufa Hadi Putera Zaini, Mohd (59309226000); Herwan Sulaiman, Mohd (55336854400); Salihin Samsudin, Ahmad (59308710500); Kiwa, Toshihiko (6603908017)",57220107330; 59309226000; 55336854400; 59308710500; 6603908017,Defect Evaluation in Mild Steel Plate Using Harmonic Ratio Induced by Square Wave Excitation Field and Nonlinear Magnetization,2024,IEEE Transactions on Magnetics,60,9,6200505,,,,0,10.1109/TMAG.2024.3420948,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197558918&doi=10.1109%2fTMAG.2024.3420948&partnerID=40&md5=b003a26dd1027629744e8abf738328e8,Article,Final,,Scopus,2-s2.0-85197558918
Sarudin M.A.; Wahab Y.A.; Yusof N.A.T.; Saari M.M.; Aw S.R.; Bakar M.S.; Arshad N.W.; Yu S.Y.,"Sarudin, Muhammad Aiqil (59756203900); Wahab, Yasmin Abdul (57193422873); Yusof, Nurhafizah Abu Talip (57208004036); Saari, Mohd Mawardi (57220107330); Aw, Suzanna Ridzuan (56024176600); Bakar, Mohd Shafie (8625937000); Arshad, Nurul Wahidah (57208674645); Yu, Sia Yee (58659120400)",59756203900; 57193422873; 57208004036; 57220107330; 56024176600; 8625937000; 57208674645; 58659120400,Modeling and Simulation of an ECT Sensor for Non-invasive Agarwood Inspection,2025,Communications in Computer and Information Science,2483 CCIS,,,281,294,13,0,10.1007/978-981-96-4613-5_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003629956&doi=10.1007%2f978-981-96-4613-5_21&partnerID=40&md5=fb1337c22a29b96a97a2f228c6309135,Conference paper,Final,,Scopus,2-s2.0-105003629956
Mazuki N.F.; Kufian M.Z.; Saari M.M.; Samsudin A.S.,"Mazuki, N.F. (57204005530); Kufian, M.Z. (18434075000); Saari, Mohd Mawardi (57220107330); Samsudin, A.S. (54893526100)",57204005530; 18434075000; 57220107330; 54893526100,Influencing of [EDIMP]TFSI in PMMA-PLA doped LiTFSI based hybrid gel polymer electrolyte on the variation in crystallinity phase and ionic conduction properties,2023,Journal of Non-Crystalline Solids,621,,122634,,,,5,10.1016/j.jnoncrysol.2023.122634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171458124&doi=10.1016%2fj.jnoncrysol.2023.122634&partnerID=40&md5=8f65bcf4d1e32351bcbdd326113325a9,Article,Final,,Scopus,2-s2.0-85171458124
Aziz Z.; Saari M.M.; Yee C.S.; Zaini M.A.H.P.; Nadzri N.A.,"Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Yee, Chin Sim (56374296600); Zaini, Mohd Aufa Hadi Putera (57207994127); Nadzri, Nurul A'In (57201859397)",57220106807; 57220107330; 56374296600; 57207994127; 57201859397,Braiding Uniform Magnetic Field Inside a Cylindrical Reactor for Photocatalytic Reforming of Petrochemical Wastewater,2020,"ETCCE 2020 - International Conference on Emerging Technology in Computing, Communication and Electronics",,,9350888,,,,1,10.1109/ETCCE51779.2020.9350888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102055143&doi=10.1109%2fETCCE51779.2020.9350888&partnerID=40&md5=4423d068f9e47988c7adb66d9a373fb2,Conference paper,Final,,Scopus,2-s2.0-85102055143
Saari M.M.; Zaini M.A.H.P.; Sulaiman M.H.; Samsudin A.S.; Kiwa T.,"Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Sulaiman, Mohd Herwan (55336854400); Samsudin, Ahmad Salihin (54893526100); Kiwa, Toshihiko (6603908017)",57220107330; 57207994127; 55336854400; 54893526100; 6603908017,Defect Evaluation in Mild Steel Plate Using Harmonic Ratio Induced by Square Wave Excitation Field and Nonlinear Magnetization,2024,"2024 IEEE International Magnetic Conference - Short Papers, INTERMAG Short Papers 2024 - Proceedings",,,,,,,0,10.1109/INTERMAGShortPapers61879.2024.10576832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198941080&doi=10.1109%2fINTERMAGShortPapers61879.2024.10576832&partnerID=40&md5=0def004be59d8af1c3ae53b19e0984a6,Conference paper,Final,,Scopus,2-s2.0-85198941080
Sulaiman M.H.; Mustaffa Z.; Saari M.M.; Mohamad A.J.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Saari, Mohd Mawardi (57220107330); Mohamad, Ahmad Johari (55661950400)",55336854400; 54789967400; 57220107330; 55661950400,Barnacles Mating Optimizer for Loss Minimization of Optimal Reactive Power Dispatch,2022,Przeglad Elektrotechniczny,98,2,,59,63,4,1,10.15199/48.2022.02.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124262711&doi=10.15199%2f48.2022.02.12&partnerID=40&md5=bb8a97b97e3c384d98eedb264109212c,Article,Final,,Scopus,2-s2.0-85124262711
Ahmad H.; Mohd N.S.; Othman N.A.; Saari M.M.; Ramli M.S.,"Ahmad, Hamzah (35304432800); Mohd, Nurul Syafiqah (57220351816); Othman, Nur Aqilah (56028974800); Saari, Mohd Mawardi (57220107330); Ramli, Mohd Syakirin (26435494400)",35304432800; 57220351816; 56028974800; 57220107330; 26435494400,Design and Development of Wearable Human Activity Recognition for Healthcare Monitoring,2020,Lecture Notes in Electrical Engineering,632,,,323,332,9,0,10.1007/978-981-15-2317-5_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083075661&doi=10.1007%2f978-981-15-2317-5_27&partnerID=40&md5=fd3d38aa9532d000c1847eda95c0cc9a,Conference paper,Final,,Scopus,2-s2.0-85083075661
Saari M.M.; Nadzri N.A.; Zaini M.A.H.P.; Ramlan N.H.; Tsukada K.,"Saari, Mohd Mawardi (57220107330); Nadzri, Nurul Ain (57201859397); Zaini, Mohd Aufa Hadi Putera (57207994127); Ramlan, Nur Huda (56453249000); Tsukada, Keiji (7201442097)",57220107330; 57201859397; 57207994127; 56453249000; 7201442097,A Low-Frequency Eddy Current Probe Based on Miniature Fluxgate Array for Defect Evaluation in Steel Components,2022,IEEE Transactions on Magnetics,58,2,,,,,11,10.1109/TMAG.2021.3076441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105578817&doi=10.1109%2fTMAG.2021.3076441&partnerID=40&md5=a7529f654eef17787444b4034c75ed9c,Article,Final,,Scopus,2-s2.0-85105578817
