"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Aziz Z.; Saari M.M.; Yee C.S.; Zaini M.A.H.P.; Nadzri N.A.","Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Yee, Chin Sim (56374296600); Zaini, Mohd Aufa Hadi Putera (57207994127); Nadzri, Nurul A'In (57201859397)","57220106807; 57220107330; 56374296600; 57207994127; 57201859397","Braiding Uniform Magnetic Field Inside a Cylindrical Reactor for Photocatalytic Reforming of Petrochemical Wastewater","2020","ETCCE 2020 - International Conference on Emerging Technology in Computing, Communication and Electronics","","","9350888","","","","1","10.1109/ETCCE51779.2020.9350888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102055143&doi=10.1109%2fETCCE51779.2020.9350888&partnerID=40&md5=4423d068f9e47988c7adb66d9a373fb2","Conference paper","Final","","Scopus","2-s2.0-85102055143"
"Saari M.M.; Nadzri N.A.; Zaini M.A.H.P.; Ramlan N.H.; Tsukada K.","Saari, Mohd Mawardi (57220107330); Nadzri, Nurul Ain (57201859397); Zaini, Mohd Aufa Hadi Putera (57207994127); Ramlan, Nur Huda (56453249000); Tsukada, Keiji (7201442097)","57220107330; 57201859397; 57207994127; 56453249000; 7201442097","A Low-Frequency Eddy Current Probe Based on Miniature Fluxgate Array for Defect Evaluation in Steel Components","2022","IEEE Transactions on Magnetics","58","2","","","","","11","10.1109/TMAG.2021.3076441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105578817&doi=10.1109%2fTMAG.2021.3076441&partnerID=40&md5=a7529f654eef17787444b4034c75ed9c","Article","Final","","Scopus","2-s2.0-85105578817"
"Nadzri N.A.; Saari M.M.; Razali S.; Mohamed M.R.; Ahmad H.","Nadzri, Nurul A’in (57201859397); Saari, Mohd Mawardi (57220107330); Razali, Saifuddin (36810405400); Mohamed, Mohd Rusllim (15072061400); Ahmad, Hamzah (35304432800)","57201859397; 57220107330; 36810405400; 15072061400; 35304432800","Detection of metallic contaminant in aluminium soda can using TMR sensor","2018","Lecture Notes in Mechanical Engineering","0","9789811087875","","527","535","8","2","10.1007/978-981-10-8788-2_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046255629&doi=10.1007%2f978-981-10-8788-2_47&partnerID=40&md5=da16a60e8f51ecc8495e8297fbe89e3a","Book chapter","Final","","Scopus","2-s2.0-85046255629"
"Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Halil A.M.; Hanifah A.J.S.; Ishak M.","Zaini, M.A.H.P. (57207994127); Saari, M.M. (57220107330); Nadzri, N.A. (57201859397); Halil, A.M. (57192875407); Hanifah, A.J.S. (57216314454); Ishak, M. (55545861661)","57207994127; 57220107330; 57201859397; 57192875407; 57216314454; 55545861661","Effect of Excitation Frequency on Magnetic Response Induced by Front- and Back-Side Slits Measured by a Differential AMR Sensor Probe","2020","Lecture Notes in Electrical Engineering","632","","","15","24","9","2","10.1007/978-981-15-2317-5_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079049&doi=10.1007%2f978-981-15-2317-5_2&partnerID=40&md5=06b0eaf643fc304cb42774ed0471f75c","Conference paper","Final","","Scopus","2-s2.0-85083079049"
"Saari M.M.; Razak A.Z.I.; Zain M.A.H.P.; Nadzri N.A.; Daud M.R.; Ahmad H.","Saari, Mohd Mawardi (57220107330); Razak, Ahmad Zahir Irsyad (57216313086); Zain, Mohd Aufa Hadi Putera (57192871255); Nadzri, Nurul A’in (57201859397); Daud, Mohd Razali (57004537100); Ahmad, Hamzah (35304432800)","57220107330; 57216313086; 57192871255; 57201859397; 57004537100; 35304432800","Development of AC and DC Drive Coils for a Small Volume Magnetic Particle Imaging System","2020","Lecture Notes in Electrical Engineering","632","","","101","111","10","0","10.1007/978-981-15-2317-5_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079324&doi=10.1007%2f978-981-15-2317-5_10&partnerID=40&md5=3aaa91962bbc0a082c167f0017e76b91","Conference paper","Final","","Scopus","2-s2.0-85083079324"
"Aziz Z.; Saari M.M.; Zaini M.A.H.P.; Nadzri N.A.; Chin S.Y.","Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Nadzri, Nurul A’in (57201859397); Chin, Sim Yee (56374296600)","57220106807; 57220107330; 57207994127; 57201859397; 56374296600","Enhancing a loosely coupled inductive wireless power transfer system for LED-driven slurry photocatalytic reactors","2024","Journal of Microwave Power and Electromagnetic Energy","58","3","","207","232","25","0","10.1080/08327823.2024.2378669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198522685&doi=10.1080%2f08327823.2024.2378669&partnerID=40&md5=0040517fcb3a658a99bdacb448ba1cf0","Article","Final","","Scopus","2-s2.0-85198522685"
"Saari M.M.; Sulaiman M.H.; Nadzri N.A.; Kiwa T.","Saari, Mohd Mawardi (57220107330); Sulaiman, Mohd Herwan (55336854400); Nadzri, Nurul A’in (57201859397); Kiwa, Toshihiko (6603908017)","57220107330; 55336854400; 57201859397; 6603908017","A spline-enhanced non-negative least squares inversion approach for estimating magnetic nanoparticle size distribution from magnetization curves","2025","Physica Scripta","100","7","075989","","","","0","10.1088/1402-4896/ade93d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010561898&doi=10.1088%2f1402-4896%2fade93d&partnerID=40&md5=499a9d02ff9aae972efabbdf7b7a0a9a","Article","Final","","Scopus","2-s2.0-105010561898"
"Saari M.M.; Nadzri N.A.; Zaini M.A.H.P.; Sulaiman M.H.; Kiwa T.","Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A’in (57201859397); Zaini, Mohd Aufa Hadi Putera (57207994127); Sulaiman, Mohd Herwan (55336854400); Kiwa, Toshihiko (6603908017)","57220107330; 57201859397; 57207994127; 55336854400; 6603908017","A Circular Eddy Current Probe Using Miniature Fluxgates for Multi-Orientation Slit Evaluation in Steel Components","2023","Russian Journal of Nondestructive Testing","59","8","","902","914","12","5","10.1134/S1061830923600417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174322163&doi=10.1134%2fS1061830923600417&partnerID=40&md5=e460b30c4f29dfb4b18a7dbcd35e8dbe","Article","Final","","Scopus","2-s2.0-85174322163"
"Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Aziz Z.; Ramlan N.H.; Tsukada K.","Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A'In (57201859397); Aziz, Zulkifly (57220106807); Ramlan, Nur Huda (56453249000); Tsukada, Keiji (7201442097)","57207994127; 57220107330; 57201859397; 57220106807; 56453249000; 7201442097","Extraction of Flux Leakage and Eddy Current Signals Induced by Submillimeter Backside Slits on Carbon Steel Plate Using a Low-Field AMR Differential Magnetic Probe","2021","IEEE Access","9","","","146755","146770","15","19","10.1109/ACCESS.2021.3123421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118565467&doi=10.1109%2fACCESS.2021.3123421&partnerID=40&md5=3c0c52ac77d8f8332397c02d512d5542","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85118565467"
"Saari M.M.; Zaini M.A.H.P.; Yusdi U.S.M.; Nadzri N.A.; Sulaiman M.H.; Kiwa T.","Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Yusdi, Ummi Sabihah MOHD (58764154900); Nadzri, Nurul Ain (57201859397); Sulaiman, Mohd Herwan (55336854400); Kiwa, Toshihiko (6603908017)","57220107330; 57207994127; 58764154900; 57201859397; 55336854400; 6603908017","Assessment Of Surface Corrosion On Carbon Steel Plates Using A Differential Fluxgate Probe","2023","Przeglad Elektrotechniczny","2023","12","","207","210","3","0","10.15199/48.2023.12.37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179816070&doi=10.15199%2f48.2023.12.37&partnerID=40&md5=c984acdeb1431b352736622857a255bc","Article","Final","","Scopus","2-s2.0-85179816070"
"Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Aziz Z.","Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A’in (57201859397); Aziz, Zulkifly (57220106807)","57207994127; 57220107330; 57201859397; 57220106807","A Digital Dual-Phase Lock-In Amplifier for MFL and ECT NDT Applications","2022","Lecture Notes in Electrical Engineering","842","","","989","997","8","1","10.1007/978-981-16-8690-0_86","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126925393&doi=10.1007%2f978-981-16-8690-0_86&partnerID=40&md5=ed867f8637cc761bdfddd9acc528e2b6","Conference paper","Final","","Scopus","2-s2.0-85126925393"
"Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Aziz Z.A.","Nadzri, Nurul A'in (57201859397); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Aziz, Zulkifly Ab (57220106807)","57201859397; 57220107330; 57207994127; 57220106807","Detection of Vertical and Horizontal Crack in Steel Structure Using a Circular Eddy Current Testing Probe","2024","AIP Conference Proceedings","2998","1","060010","","","","1","10.1063/5.0190383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188329720&doi=10.1063%2f5.0190383&partnerID=40&md5=c9f3adc3aefa2531e76e32e91378f0ba","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85188329720"
"Hadi Putera Zaini M.A.; Mawardi Saari M.; Nadzri N.A.; Mohd Halil A.; Tsukada K.","Hadi Putera Zaini, Mohd Aufa (57207994127); Mawardi Saari, Mohd (57220107330); Nadzri, Nurul Arin (57201859397); Mohd Halil, Aiman (57192875407); Tsukada, Keiji (7201442097)","57207994127; 57220107330; 57201859397; 57192875407; 7201442097","An MFL Probe using Shiftable Magnetization Angle for Front and Back Side Crack Evaluation","2019","Proceedings - 2019 IEEE 15th International Colloquium on Signal Processing and its Applications, CSPA 2019","","","8696064","157","161","4","11","10.1109/CSPA.2019.8696064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065466971&doi=10.1109%2fCSPA.2019.8696064&partnerID=40&md5=7201d6fb1628bd8a7b2eec1ada68e712","Conference paper","Final","","Scopus","2-s2.0-85065466971"
"Azmi M.F.M.; Wahab Y.A.; Saari M.M.; Yusof N.A.T.; A'in Nadzri N.","Azmi, Muhammad Fauzan Mohd (60125126500); Wahab, Yasmin Abdul (57203353903); Saari, Mohd Mawardi (57220107330); Yusof, Nurhafizah Abu Talip (57208004036); A'in Nadzri, Nurul (57201859397)","60125126500; 57203353903; 57220107330; 57208004036; 57201859397","Development of an Ultrasonic Tomography System for Monitoring Particle Deposition in Elbow Pipelines","2025","IEEE 8th International Conference on Electrical, Control and Computer Engineering, InECCE 2025 - Proceedings","","","","489","494","5","0","10.1109/InECCE64959.2025.11151050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017785220&doi=10.1109%2fInECCE64959.2025.11151050&partnerID=40&md5=01f133e7bc0402fd6d62cefd2e14ce2f","Conference paper","Final","","Scopus","2-s2.0-105017785220"
"Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Aziz Z.; Kiwa T.","Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A’in (57201859397); Aziz, Zulkifly (57220106807); Kiwa, Toshihiko (6603908017)","57207994127; 57220107330; 57201859397; 57220106807; 6603908017","Backside Defect Evaluation in Carbon Steel Plate Using a Hybridized Magnetic Flux Leakage and Eddy Current Technique","2024","Journal of Nondestructive Evaluation","43","1","9","","","","4","10.1007/s10921-023-01022-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178916090&doi=10.1007%2fs10921-023-01022-z&partnerID=40&md5=55b560e67ba468471721e3f93887d76a","Article","Final","","Scopus","2-s2.0-85178916090"
"Saari M.M.; Nadzri N.A.; Zaini M.A.H.P.; Sulaiman M.H.; Kiwa T.","Saari, Mohd Mawardi (57220107330); Nadzri, Nurul Aiin (57201859397); Zaini, Mohd Aufa Hadi Putera (57207994127); Sulaiman, Mohd Herwan (55336854400); Kiwa, Toshihiko (6603908017)","57220107330; 57201859397; 57207994127; 55336854400; 6603908017","Simulation Study of Orthogonal Eddy Current Excitation Technique for Detection of Multi-Orientation Slit","2024","2024 International Conference on System Science and Engineering, ICSSE 2024","","","","","","","0","10.1109/ICSSE61472.2024.10608893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202431351&doi=10.1109%2fICSSE61472.2024.10608893&partnerID=40&md5=f651cd5fc7579d35fcba51fea0a121b7","Conference paper","Final","","Scopus","2-s2.0-85202431351"
"Putera Zaini M.A.H.; A'in Nadzri N.; Saari M.M.","Putera Zaini, Mohd Aufa Hadi (60124653800); A'in Nadzri, Nurul (57201859397); Saari, Mohd Mawardi (57220107330)","60124653800; 57201859397; 57220107330","Enhanced Crack Detection Using a Shielded Magnetic Probe With Tmr Sensors for Mfl and Eddy Current Techniques","2025","IEEE 8th International Conference on Electrical, Control and Computer Engineering, InECCE 2025 - Proceedings","","","","409","414","5","0","10.1109/InECCE64959.2025.11150883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017604934&doi=10.1109%2fInECCE64959.2025.11150883&partnerID=40&md5=3327139d01303f04465b2b42100a96b8","Conference paper","Final","","Scopus","2-s2.0-105017604934"
"Nadzri N.A.; Ishak M.; Saari M.M.; Halil A.M.","Nadzri, Nurul A'In (57201859397); Ishak, Mahadzir (55545861661); Saari, Mohd Mawardi (57220107330); Halil, Aiman Mohd (57192875407)","57201859397; 55545861661; 57220107330; 57192875407","Development of Eddy current testing system for welding inspection","2018","2018 9th IEEE Control and System Graduate Research Colloquium, ICSGRC 2018 - Proceeding","","","8657511","94","98","4","18","10.1109/ICSGRC.2018.8657511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063454011&doi=10.1109%2fICSGRC.2018.8657511&partnerID=40&md5=82411259c6dcd5be266d9386c7ef5d70","Conference paper","Final","","Scopus","2-s2.0-85063454011"
"Aziz Z.; Saari M.M.; Sim Yee C.; Hadi Putera Zaini M.A.; A'in Nadzri N.","Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Sim Yee, Chin (56374296600); Hadi Putera Zaini, Mohd Aufa (57207994127); A'in Nadzri, Nurul (57201859397)","57220106807; 57220107330; 56374296600; 57207994127; 57201859397","Simulation of Triple Helmholtz Coils for Wireless Power Transfer in Photocatalytic Wastewater Photoreforming","2020","2020 11th IEEE Control and System Graduate Research Colloquium, ICSGRC 2020 - Proceedings","","","9232548","20","25","5","3","10.1109/ICSGRC49013.2020.9232548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096907818&doi=10.1109%2fICSGRC49013.2020.9232548&partnerID=40&md5=790c2e9eec9f45a47d720d087539129c","Conference paper","Final","","Scopus","2-s2.0-85096907818"
"Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Halil A.M.; Hanifah A.J.S.; Ishak M.","Nadzri, N.A. (57201859397); Saari, M.M. (57220107330); Zaini, M.A.H.P. (57207994127); Halil, A.M. (57192875407); Hanifah, A.J.S. (57216314454); Ishak, M. (55545861661)","57201859397; 57220107330; 57207994127; 57192875407; 57216314454; 55545861661","Depth Evaluation of Slits on Galvanized Steel Plate Using a Low Frequency Eddy Current Probe","2020","Lecture Notes in Electrical Engineering","632","","","59","66","7","2","10.1007/978-981-15-2317-5_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079699&doi=10.1007%2f978-981-15-2317-5_6&partnerID=40&md5=237c6336982c731848573138aab56de6","Conference paper","Final","","Scopus","2-s2.0-85083079699"
"Saari M.M.; Nadzri N.A.; Halil A.M.; Ishak M.; Sakai K.; Kiwa T.; Tsukada K.","Saari, M.M. (57220107330); Nadzri, N.A. (57201859397); Halil, A.M. (57192875407); Ishak, M. (55545861661); Sakai, K. (55453019800); Kiwa, T. (6603908017); Tsukada, K. (7201442097)","57220107330; 57201859397; 57192875407; 55545861661; 55453019800; 6603908017; 7201442097","Design of eddy current testing probe for surface defect evaluation","2019","International Journal of Automotive and Mechanical Engineering","16","1","","6357","6367","10","15","10.15282/ijame.16.1.2019.19.0481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063629740&doi=10.15282%2fijame.16.1.2019.19.0481&partnerID=40&md5=7a25890a86582c6a130af49594a07c38","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85063629740"
"Aprianto N.S.I.D.; Hasan N.; Nadzri N.I.I.M.; Mustafa N.; Qi L.F.; Faudzi A.A.M.; Yusof N.A.T.; Karim M.S.A.","Aprianto, Nur S. I. D. (59345716300); Hasan, Nurulfadzilah (57040721600); Nadzri, Nurul I. I. M. (57201859397); Mustafa, Nurfarhana (57223011946); Qi, Loh Fui (59335564100); Faudzi, Ahmad A. M. (57054191200); Yusof, Nurhafizah A. T. (57208004036); Karim, Mohamad Shaiful Abdul (57201499599)","59345716300; 57040721600; 57201859397; 57223011946; 59335564100; 57054191200; 57208004036; 57201499599","Factorial Analysis on the Preparation of Barium Titanate-Epoxy Resin Composite for Antenna Substrate","2024","Progress In Electromagnetics Research C","147","","","127","134","7","0","10.2528/PIERC24063002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204489150&doi=10.2528%2fPIERC24063002&partnerID=40&md5=b4d52a95595878bb5ceba02f6671fb3b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85204489150"
"Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Ramlan N.H.; Aziz Z.A.","Nadzri, Nurul A'In (57201859397); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Ramlan, Nur Huda (56453249000); Aziz, Zulkifly Ab (57220106807)","57201859397; 57220107330; 57207994127; 56453249000; 57220106807","Detection of Back-Side Cracks in Steel Structure Using A Differential Eddy Current Testing Probe","2020","ETCCE 2020 - International Conference on Emerging Technology in Computing, Communication and Electronics","","","9350887","","","","0","10.1109/ETCCE51779.2020.9350887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102039889&doi=10.1109%2fETCCE51779.2020.9350887&partnerID=40&md5=4e0913a3c3743bd32e88f525a8733c50","Conference paper","Final","","Scopus","2-s2.0-85102039889"
